City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
334,Touros,BR,78.8,-5.2,-35.46,
336,Vila Velha,BR,79.0,-20.33,-40.29,
338,Santo Nino,PH,77.07,6.43,124.7,
340,Araouane,ML,84.96,18.9,-3.53,
341,Norman,US,73.99,35.22,-97.44,
342,Tawau,MY,75.2,4.25,117.89,
345,Coron,PH,80.15,12.0,120.2,
351,Sao Joao Da Barra,BR,75.2,-21.64,-41.05,
354,Rosarito,MX,89.6,32.33,-117.03,
355,Saint-Louis,SN,86.0,16.33,-15.0,
359,Road Town,VG,81.0,18.42,-64.62,
364,Olinda,BR,82.4,-8.01,-34.86,
366,Sao Mateus Do Maranhao,BR,77.32,-4.04,-44.48,
369,Vieques,PR,82.4,18.43,-65.83,
370,Excelsior Springs,US,73.4,39.34,-94.23,
376,Kandrian,PG,82.81,-6.22,149.55,
380,Cairns,AU,82.99,-16.92,145.77,
384,Moranbah,AU,80.98,-22.0,148.05,
385,Caravelas,BR,73.09,-17.71,-39.25,
386,Champerico,GT,77.0,14.3,-91.92,
387,Escuinapa,MX,89.6,22.85,-105.8,
389,Mount Isa,AU,77.0,-20.73,139.5,
391,Port Hedland,AU,77.0,-20.32,118.57,
393,Katobu,ID,81.41,-4.94,122.53,
395,Marsh Harbour,BS,78.15,26.54,-77.06,
396,Vanimo,PG,81.34,-2.67,141.3,
399,Sao Sepe,BR,71.6,-30.16,-53.57,
403,Alamogordo,US,80.6,32.9,-105.96,
404,Kasongo-Lunda,CD,71.85,-6.47,16.82,
407,Carupano,VE,78.89,10.67,-63.26,
410,Ko Samui,TH,82.04,9.54,99.94,
416,Winnemucca,US,75.2,40.97,-117.74,
419,Jilib,SO,75.16,0.49,42.79,
422,Yeppoon,AU,80.6,-23.13,150.73,
426,Quatre Cocos,MU,73.4,-20.21,57.76,
435,Kawalu,ID,72.7,-7.38,108.21,
436,Pampa,US,80.6,35.54,-100.96,
438,Richards Bay,ZA,72.46,-28.78,32.04,
440,Nanakuli,US,84.2,21.39,-158.15,
445,Koungou,YT,75.2,-12.73,45.2,
447,Bonthe,SL,79.81,7.53,-12.51,
449,Kuching,MY,75.2,1.55,110.33,
450,Garowe,SO,71.29,8.41,48.48,
451,Tingo Maria,PE,78.48,-9.29,-76.01,
452,Maiduguri,NG,76.41,11.85,13.16,
453,Sinnamary,GF,77.31,5.38,-52.95,
454,Karratha,AU,81.3,-20.74,116.85,
456,Puerto El Triunfo,SV,75.2,13.28,-88.55,
457,Bengkulu,ID,76.17,-3.8,102.27,
458,Basoko,CD,71.15,1.24,23.62,
464,Arlit,NE,76.59,18.74,7.39,
466,Buin,CL,78.8,-33.73,-70.75,
467,Okmulgee,US,73.4,35.62,-95.96,
468,Coahuayana,MX,89.6,18.73,-103.68,
469,Hiriyur,IN,71.22,13.95,76.62,
471,Sao Gabriel Da Cachoeira,BR,80.24,-0.13,-67.09,
474,Pacific Grove,US,73.99,36.62,-121.92,
478,Cocobeach,GA,80.6,1.0,9.58,
480,Qui Nhon,VN,76.42,13.77,109.23,
483,Balikpapan,ID,77.52,-1.27,116.83,
485,Miandrivazo,MG,80.26,-19.52,45.47,
486,Antalaha,MG,72.66,-14.9,50.28,
491,Bathsheba,BB,80.6,13.22,-59.52,
493,Adrar,MR,85.39,20.5,-10.07,
502,Omboue,GA,76.33,-1.57,9.26,
504,Celestun,MX,79.81,20.87,-90.4,
505,Umm Kaddadah,SD,75.13,13.6,26.69,
506,Camacari,BR,78.8,-12.7,-38.32,
